Date,Comp,Venue,Result,GF,GA,xG,xGA,Poss,Opponent,Team,Season,GoalDiff,xGDiff,Outcome
2024-11-24,La Liga,Home,W,1.0,0.0,1.3,0.5,41.0,Real Sociedad,Athletic-Club-Bilbao,2024-2025,1.0,0.8,Win
2024-11-28,Europa Lg,Home,W,3.0,0.0,1.4,0.3,70.0,se Elfsborg,Athletic-Club-Bilbao,2024-2025,3.0,1.0999999999999999,Win
2024-12-01,La Liga,Away,W,2.0,1.0,0.7,0.2,52.0,Rayo Vallecano,Athletic-Club-Bilbao,2024-2025,1.0,0.49999999999999994,Win
2024-12-04,La Liga,Home,W,2.0,1.0,1.8,1.7,37.0,Real Madrid,Athletic-Club-Bilbao,2024-2025,1.0,0.10000000000000009,Win
2024-12-08,La Liga,Home,W,2.0,0.0,1.2,0.8,42.0,Villarreal,Athletic-Club-Bilbao,2024-2025,2.0,0.3999999999999999,Win
2024-12-11,Europa Lg,Away,W,2.0,0.0,1.5,0.4,47.0,tr Fenerbahçe,Athletic-Club-Bilbao,2024-2025,2.0,1.1,Win
2024-12-15,La Liga,Away,D,1.0,1.0,0.7,0.9,48.0,Alavés,Athletic-Club-Bilbao,2024-2025,0.0,-0.20000000000000007,Draw
2024-12-21,La Liga,Away,W,2.0,1.0,1.2,0.6,47.0,Osasuna,Athletic-Club-Bilbao,2024-2025,1.0,0.6,Win
2025-01-04,Copa del Rey,Away,D,,,,,62.0,UD Logroñés,Athletic-Club-Bilbao,2024-2025,,,Loss
2025-01-08,Supercopa de España,Neutral,L,0.0,2.0,,,44.0,Barcelona,Athletic-Club-Bilbao,2024-2025,-2.0,,Loss
2025-01-16,Copa del Rey,Home,L,2.0,3.0,,,60.0,Osasuna,Athletic-Club-Bilbao,2024-2025,-1.0,,Loss
2025-01-19,La Liga,Away,W,2.0,1.0,1.8,0.6,41.0,Celta Vigo,Athletic-Club-Bilbao,2024-2025,1.0,1.2000000000000002,Win
2025-01-22,Europa Lg,Away,L,1.0,4.0,1.0,2.8,53.0,tr Beşiktaş,Athletic-Club-Bilbao,2024-2025,-3.0,-1.7999999999999998,Loss
2025-01-26,La Liga,Home,D,0.0,0.0,2.1,1.0,68.0,Leganés,Athletic-Club-Bilbao,2024-2025,0.0,1.1,Draw
2025-01-30,Europa Lg,Home,W,3.0,1.0,2.2,0.6,57.0,cz Viktoria Plzeň,Athletic-Club-Bilbao,2024-2025,2.0,1.6,Win
2025-02-02,La Liga,Away,D,2.0,2.0,1.4,1.1,47.0,Betis,Athletic-Club-Bilbao,2024-2025,0.0,0.2999999999999998,Draw
2025-02-08,La Liga,Home,W,3.0,0.0,3.6,0.1,45.0,Girona,Athletic-Club-Bilbao,2024-2025,3.0,3.5,Win
2025-02-16,La Liga,Away,D,1.0,1.0,1.0,0.8,61.0,Espanyol,Athletic-Club-Bilbao,2024-2025,0.0,0.19999999999999996,Draw
2025-02-23,La Liga,Home,W,7.0,1.0,3.8,0.5,57.0,Valladolid,Athletic-Club-Bilbao,2024-2025,6.0,3.3,Win
2025-03-01,La Liga,Away,L,0.0,1.0,1.1,2.2,50.0,Atlético Madrid,Athletic-Club-Bilbao,2024-2025,-1.0,-1.1,Loss
2025-03-06,Europa Lg,Away,L,1.0,2.0,1.2,1.2,42.0,it Roma,Athletic-Club-Bilbao,2024-2025,-1.0,0.0,Loss
2025-03-09,La Liga,Home,D,1.0,1.0,0.7,0.5,55.0,Mallorca,Athletic-Club-Bilbao,2024-2025,0.0,0.19999999999999996,Draw
2025-03-13,Europa Lg,Home,W,3.0,1.0,1.8,1.1,69.0,it Roma,Athletic-Club-Bilbao,2024-2025,2.0,0.7,Win
2025-03-16,La Liga,Away,W,1.0,0.0,1.3,0.5,39.0,Sevilla,Athletic-Club-Bilbao,2024-2025,1.0,0.8,Win
